date,team,home,mp.mean,fg.total,fga.total,fg_pct.mean,fg3.total,fg3a.total,fg3_pct.mean,ft.total,fta.total,ft_pct.mean,orb.total,drb.total,trb.total,ast.total,stl.total,blk.total,tov.total,pf.total,pts.total,plus_minus.mean,ts_pct.mean,fg3a_per_fga_pct.mean,fta_per_fga_pct.mean,orb_pct.mean,drb_pct.mean,trb_pct.mean,ast_pct.mean,stl_pct.mean,blk_pct.mean,tov_pct.mean,usg_pct.mean,off_rtg.mean,def_rtg.mean
2016-10-25,Cleveland Cavaliers,1,18.462820512820514,45,94,0.4833076923076923,13,35,0.35788888888888887,14,19,0.75,11,40,51,31,12,5,14,22,117,11.153846153846153,0.5591538461538461,0.3057692307692308,0.17492307692307693,4.7,12.36923076923077,9.069230769230769,14.223076923076922,1.876923076923077,2.7,15.107692307692307,18.961538461538463,116.15384615384616,90
2016-10-25,Golden State Warriors,1,18.461538461538463,40,85,0.4768181818181818,7,33,0.15,13,18,0.6055,8,27,35,24,11,6,16,19,100,-11.153846153846153,0.5070833333333333,0.3371818181818182,0.13672727272727273,2.9384615384615382,7.630769230769231,5.446153846153846,11.753846153846155,1.9846153846153847,1.823076923076923,18.9,18.20769230769231,81.3076923076923,133.76923076923077
2016-10-25,New York Knicks,0,18.46153846153846,32,87,0.3220769230769231,9,27,0.335,15,20,0.8055,13,29,42,17,6,6,18,22,88,-11.153846153846153,0.41615384615384615,0.36346153846153845,0.2949230769230769,4.038461538461538,13.63076923076923,8.176923076923076,13.3,1.0153846153846153,1.7307692307692306,18.446153846153848,19.93076923076923,86.46153846153847,118.46153846153847
2016-10-25,Portland Trail Blazers,1,23.996666666666666,39,75,0.431,13,19,0.5905714285714286,22,22,1,5,29,34,22,5,3,12,18,113,4.5,0.532,0.2625,0.20650000000000002,2.9,15.629999999999999,9.77,13.34,1.01,1.17,10.68,17.66,113.4,115.3
2016-10-25,San Antonio Spurs,0,18.46153846153846,47,98,0.5304545454545454,12,24,0.629125,23,26,0.7915,21,34,55,25,13,3,13,19,129,11.153846153846153,0.667,0.31163636363636366,0.1570909090909091,7.3538461538461535,16.16923076923077,11.46923076923077,14.853846153846154,2.1,1.1076923076923078,17.808333333333334,17.161538461538463,127.92307692307692,103.07692307692308
2016-10-25,Utah Jazz,0,24.001666666666665,40,82,0.5107777777777778,8,24,0.26371428571428573,16,16,1,6,25,31,19,9,5,11,19,104,-4.5,0.5785555555555556,0.23922222222222222,0.16244444444444445,3.42,16.77,9.56,12.07,2.91,2.64,15.033333333333333,17.98,95.4,122.4
2016-10-26,Boston Celtics,1,24,48,89,0.5562,11,32,0.3801428571428571,15,18,0.65,12,35,47,36,13,9,19,20,122,2.5,0.6245999999999999,0.3111,0.2346,6.42,14,10.57,18.5,2.54,3.67,16.65,19.98,116.9,113.4
2016-10-26,Brooklyn Nets,0,20,43,97,0.40700000000000003,15,44,0.2586,16,20,0.7861666666666667,15,29,44,22,8,3,16,19,117,-2.0833333333333335,0.5057272727272727,0.43945454545454543,0.265,8.7,13.958333333333334,11.058333333333334,12.816666666666666,1.3333333333333335,0.8166666666666667,11.718181818181819,18.325,124.25,119.25
2016-10-26,Charlotte Hornets,0,24,40,89,0.4403,7,23,0.22033333333333333,20,24,0.8833333333333333,11,40,51,27,5,10,10,22,107,5.5,0.5031,0.2189,0.2581,3.88,14.530000000000001,9.36,16.52,0.72,2.7800000000000002,10.6,20.11,100.9,100.6
2016-10-26,Dallas Mavericks,0,22.083333333333332,45,104,0.42566666666666664,18,48,0.38885714285714285,13,18,0.5666,10,39,49,26,8,8,15,27,121,-3.75,0.5121111111111111,0.39455555555555555,0.24811111111111112,3.6666666666666665,21.983333333333334,16.633333333333333,18.625,1.225,1.95,8.833333333333334,13.758333333333333,101.08333333333333,111.16666666666667
